warn: Google OAuth chua duoc cau hinh {"timestamp":"2026-03-31 03:08:23"}
info: ✅ Kết nối SQL Server thành công (Integrated Security) {"timestamp":"2026-03-31 03:08:24"}
info: DB ket noi thanh cong (Redis dang tat) {"timestamp":"2026-03-30T20:08:24.017Z"}
info: Server chay tai http://localhost:3002 {"timestamp":"2026-03-30T20:08:24.019Z"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:09:00"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:01"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:04"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:10"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:14"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:33"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:33"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:33"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:33"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:42"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:48"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:48"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:48"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:11:48"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:12:03"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:12:03"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:12:03"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:12:03"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:16:23"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:16:28"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:16:30"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:16:39"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:17:34"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:17:37"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:20:42"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:20:44"}
info: ReCAPTCHA pass: ::1 {"timestamp":"2026-03-31 03:25:40"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:25:51"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:25:55"}
warn: JWT verify fail: {"timestamp":"2026-03-31 03:25:59"}
info: ReCAPTCHA pass: ::1 {"timestamp":"2026-03-31 03:26:50"}
info: ReCAPTCHA pass: ::1 {"timestamp":"2026-03-31 03:27:49"}
info: ReCAPTCHA pass: ::1 {"timestamp":"2026-03-31 03:29:12"}
info: ReCAPTCHA pass: ::1 {"timestamp":"2026-03-31 03:30:08"}
